#,Business Name,Category,Phone/WhatsApp,Website Hai?,Google Rating,Area/Location,Persona Type,Status,Notes,First Contact Date,Follow-up Date,Deal Value (PKR)
1,Sample Restaurant,Restaurant 🍽️,03XX-XXXXXXX,❌ Nahi,4.2⭐,DHA Phase 5,Startup Sajid,📋 Contact karna hai,No website good reviews,,,50000
2,Sample Salon,Salon 💇,03XX-XXXXXXX,❌ Nahi,4.0⭐,Clifton,Boutique Bisma,📋 Contact karna hai,Female owned no website,,,60000
3,Sample Clinic,Clinic 🏥,03XX-XXXXXXX,❌ Nahi,4.5⭐,PECHS,Professional,📋 Contact karna hai,Doctor clinic no appointment system,,,100000
4,Sample Boutique,Boutique 👗,03XX-XXXXXXX,❌ Nahi,4.3⭐,Tariq Road,Boutique Bisma,📋 Contact karna hai,Instagram active 10k followers no website,,,70000
5,Sample Academy,Academy 📚,03XX-XXXXXXX,❌ Nahi,4.1⭐,Gulshan-e-Iqbal,Traditional Tariq,📋 Contact karna hai,Old tuition center no online presence,,,55000
6,Sample Hardware Store,Retail 🏪,03XX-XXXXXXX,❌ Nahi,3.9⭐,Saddar,Traditional Tariq,📋 Contact karna hai,Established business no website,,,65000
7,Sample Dental Clinic,Clinic 🏥,03XX-XXXXXXX,❌ Nahi,4.6⭐,DHA Phase 6,Professional,📋 Contact karna hai,Dental clinic excellent reviews no booking system,,,120000
8,Sample Bakery,Bakery 🎂,03XX-XXXXXXX,❌ Nahi,4.4⭐,Bahadurabad,Boutique Bisma,📋 Contact karna hai,Home bakery Facebook active no website,,,45000
9,Sample Law Firm,Law Firm ⚖️,03XX-XXXXXXX,❌ Nahi,4.0⭐,Clifton,Professional,📋 Contact karna hai,Law firm professional but no web presence,,,150000
10,Sample Tech Company,IT Company 💻,03XX-XXXXXXX,🌐 Purani hai,3.8⭐,Shahrah-e-Faisal,Corporate,📋 Contact karna hai,Old website needs redesign and modernization,,,300000
